Not-organelle-targeted	Organelle-targeted	Organelle-targeted_Interacting	Organelle-targeted_Non-interacting	Enzyme_Complexes	Mitochondria-targeted	Plastid-targeted	Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	Mitochondria_Enzyme_Complexes	Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	Plastid_Enzyme_Complexes	mt-DNA_RRR	mt-Mito_TAT	mt-Mitoribosome	mt-Mitoribosome;Large_Subunit	mt-Mitoribosome;Small_Subunit	mt-OXPHOS	mt-OXPHOS;Complex_I	mt-OXPHOS;Complex_III	mt-OXPHOS;Complex_IV	mt-OXPHOS;Complex_V	mt-PPR	mt-Transcription_and_Transcript_Maturation	mt-Transcription_and_Transcript_Maturation;Intron_Splicing	mt-Transcription_and_Transcript_Maturation;RNA_Polymerase	mt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	mt-Transcription_and_Transcript_Maturation;mTERF	mt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	mt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	mt-tRNA_Aminoacylation	pt-ACCase	pt-CLP	pt-Chlororibosome	pt-Chlororibosome;Large_Subunit	pt-Chlororibosome;Small_Subunit	pt-DNA_RRR	pt-PPR	pt-Photosynthesis	pt-Photosynthesis;ATP_Synthase	pt-Photosynthesis;Cytochrome_b6f	pt-Photosynthesis;NDH	pt-Photosynthesis;PSI	pt-Photosynthesis;PSII	pt-Photosynthesis;Rubisco	pt-Transcription_and_Transcript_Maturation	pt-Transcription_and_Transcript_Maturation;Intron_Splicing	pt-Transcription_and_Transcript_Maturation;RNA_Polymerase	pt-Transcription_and_Transcript_Maturation;Sigma_Factor	pt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	pt-Transcription_and_Transcript_Maturation;mTERF	pt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	pt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	pt-tRNA_Aminoacylation
Spo00028	Spo00173	Spo01209	Spo00229	Spo06256	Spo00357	Spo00173	Spo01388	Spo00441	Spo06256	Spo02223	Spo00229	Spo06060	Spo18479		Spo06256	Spo16563	Spo09353	Spo07288	Spo10295				Spo02914	Spo16409							Spo16109			Spo18169	Spo22364		Spo23978	Spo04597	Spo09312							Spo15990								Spo16475	
Spo00029	Spo00178	Spo01223	Spo00237	Spo06279	Spo00360	Spo00178	Spo01398	Spo00452	Spo06279	Spo02271	Spo00237	Spo07090	Spo18480		Spo06279	Spo16963	Spo09781	Spo07720	Spo10298				Spo02968	Spo16451							Spo16475			Spo18209	Spo22999		Spo25773	Spo04917	Spo10529							Spo16075								Spo17151	
Spo00030	Spo00202	Spo01267	Spo00238	Spo06706	Spo00388	Spo00202	Spo01532	Spo00463	Spo06706	Spo02374	Spo00238	Spo08715	Spo21736		Spo06706	Spo16966	Spo09782	Spo08258	Spo10389				Spo03049	Spo17348							Spo17151			Spo20122	Spo24633		Spo26922	Spo04958	Spo10537							Spo16451								Spo17235	
Spo00031	Spo00206	Spo01269	Spo00256	Spo06726	Spo00390	Spo00206	Spo01546	Spo00532	Spo06726	Spo02381	Spo00256	Spo09460	Spo22846		Spo06726	Spo17291	Spo11555	Spo08505	Spo12748				Spo03050	Spo17749							Spo17235			Spo20589	Spo26006			Spo05008	Spo10795							Spo16469								Spo19771	
Spo00032	Spo00214	Spo01388	Spo00275	Spo06831	Spo00400	Spo00214	Spo01588	Spo00568	Spo06831	Spo02439	Spo00275	Spo09784	Spo23072		Spo06831	Spo18134	Spo11733	Spo08914	Spo12998				Spo03141	Spo18111							Spo19771			Spo21020	Spo27163			Spo05063	Spo11246							Spo16571								Spo19975	
Spo00033	Spo00225	Spo01398	Spo00307	Spo06980	Spo00405	Spo00229	Spo01703	Spo00571	Spo06980	Spo02453	Spo00307	Spo10106	Spo23073		Spo06980	Spo18444	Spo12395	Spo09126	Spo14379				Spo03299	Spo19640							Spo19975			Spo21245	Spo27346			Spo05280	Spo11298							Spo16892								Spo20243	
Spo00035	Spo00229	Spo01500	Spo00314	Spo07206	Spo00441	Spo00237	Spo01713	Spo00656	Spo07206	Spo02554	Spo00314	Spo10493	Spo23978		Spo07206	Spo18887	Spo14829	Spo09713	Spo15902				Spo03305	Spo22283							Spo20243			Spo21827	Spo28041			Spo05304	Spo11309							Spo17348								Spo21695	
Spo00039	Spo00237	Spo01532	Spo00329	Spo07404	Spo00452	Spo00238	Spo01765	Spo00671	Spo07404	Spo02573	Spo00329	Spo11445	Spo26151		Spo07404	Spo19709	Spo15546	Spo09753	Spo16005				Spo03428	Spo22284							Spo21695			Spo22364				Spo05356	Spo11629							Spo17657								Spo21812	
Spo00041	Spo00238	Spo01546	Spo00339	Spo07882	Spo00463	Spo00248	Spo01974	Spo00692	Spo07882	Spo02626	Spo00339	Spo11597	Spo26922		Spo07882	Spo22733	Spo15605	Spo10295	Spo17071				Spo03587	Spo23127							Spo21812			Spo22999				Spo05792	Spo12437							Spo18165								Spo22683	
Spo00043	Spo00248	Spo01588	Spo00356	Spo08157	Spo00507	Spo00256	Spo02022	Spo00895	Spo08157	Spo02706	Spo00356	Spo12581			Spo08157	Spo23048	Spo16935	Spo10298	Spo17106				Spo03603	Spo23991							Spo22683			Spo23112				Spo05862	Spo13924							Spo18249								Spo23354	
Spo00045	Spo00256	Spo01695	Spo00357	Spo08527	Spo00532	Spo00275	Spo02023	Spo00902	Spo08527	Spo02895	Spo00357	Spo14866			Spo08527	Spo23467	Spo17025	Spo10389	Spo18143				Spo03732	Spo24722							Spo23354			Spo23605				Spo06287	Spo14163							Spo18860								Spo23829	
Spo00047	Spo00275	Spo01700	Spo00360	Spo08708	Spo00560	Spo00307	Spo02098	Spo00904	Spo08708	Spo02935	Spo00388	Spo14906			Spo08708	Spo24475	Spo17887	Spo11438	Spo18232				Spo03853	Spo26540							Spo23829			Spo24081				Spo06455	Spo14399							Spo18908								Spo25181	
Spo00048	Spo00307	Spo01703	Spo00388	Spo09353	Spo00568	Spo00314	Spo02123	Spo00905	Spo09353	Spo02964	Spo00405	Spo16436			Spo09353	Spo25369	Spo17987	Spo12291	Spo18502				Spo03863	Spo26632							Spo25181			Spo24633				Spo06503	Spo15619							Spo19113									
Spo00049	Spo00314	Spo01713	Spo00390	Spo09502	Spo00571	Spo00329	Spo02214	Spo00907	Spo09502	Spo03024	Spo00423	Spo16440			Spo09502	Spo25423	Spo18302	Spo12748	Spo18874				Spo04169											Spo25369				Spo06871	Spo15727							Spo19648									
Spo00050	Spo00329	Spo01765	Spo00405	Spo09781	Spo00574	Spo00339	Spo02250	Spo00967	Spo09781	Spo03025	Spo00441	Spo17047			Spo09781	Spo26038	Spo18756	Spo12998	Spo19331				Spo04170											Spo26006				Spo06874	Spo16821							Spo19776									
Spo00051	Spo00339	Spo01845	Spo00423	Spo09782	Spo00656	Spo00356	Spo02283	Spo01010	Spo09782	Spo03048	Spo00452	Spo18159			Spo09782	Spo27175	Spo19253	Spo13729	Spo19627				Spo04433											Spo27163				Spo06958	Spo16925							Spo20184									
Spo00052	Spo00356	Spo01918	Spo00441	Spo11516	Spo00671	Spo00357	Spo02285	Spo01014	Spo11516	Spo03385	Spo00463	Spo18169			Spo11516		Spo20521	Spo14379	Spo19973				Spo04497											Spo27346				Spo06967	Spo17046							Spo20447									
Spo00053	Spo00357	Spo01958	Spo00452	Spo11555	Spo00692	Spo00388	Spo02339	Spo01029	Spo11555	Spo03428	Spo00471	Spo18209			Spo11555		Spo21475	Spo14381	Spo20166				Spo04917											Spo28041				Spo07071	Spo17345							Spo20756									
Spo00054	Spo00360	Spo01974	Spo00463	Spo11733	Spo00762	Spo00405	Spo02370	Spo01037	Spo11733	Spo03476	Spo00478	Spo20122			Spo11733		Spo21808	Spo15902	Spo20607				Spo04958															Spo07073	Spo19438							Spo21152									
Spo00055	Spo00388	Spo02000	Spo00471	Spo12059	Spo00855	Spo00423	Spo02374	Spo01039	Spo12059	Spo03518	Spo00532	Spo20589			Spo12059		Spo22667	Spo16005	Spo23482				Spo05008															Spo07114	Spo19731							Spo21646									
Spo00056	Spo00390	Spo02001	Spo00478	Spo12395	Spo00895	Spo00441	Spo02414	Spo01053	Spo12395	Spo03555	Spo00539	Spo21020			Spo12395		Spo22784	Spo16820	Spo25132				Spo05063															Spo07260	Spo19908							Spo21647									
